Year,Month,EDC,Average,Median
2023,10,PPL,2.743,2.284
2023,11,APS,3.449,2.877
2023,11,DUQ,3.498,2.644
2023,11,METED,3.131,2.687
2023,11,PECO,2.61,2.369
2023,11,PENELEC,3.77,3.142
2023,11,PPL,2.989,2.612
2023,12,APS,2.872,2.455
2023,12,DUQ,2.698,2.307
2023,12,METED,2.517,2.272
2023,12,PECO,2.11,1.969
2023,12,PENELEC,3.022,2.423
2023,12,PPL,2.364,2.157
2024,1,APS,4.038,3.142
2024,1,DUQ,3.597,2.978
2024,1,METED,4.046,3.023
2024,1,PECO,3.75,2.879
2024,1,PENELEC,4.177,3.365
2024,1,PPL,3.687,2.877
2024,2,APS,2.57,2.14
2024,2,DUQ,2.486,2.095
2024,2,METED,2.283,2.016
2024,2,PECO,1.848,1.749
2024,2,PENELEC,2.563,2.255
2024,2,PPL,2.03,1.833
2024,3,APS,2.355,1.975
2024,3,DUQ,2.257,1.902
2024,3,METED,2.193,1.772
2024,3,PECO,2.009,1.683
2024,3,PENELEC,2.524,2.049
2024,3,PPL,1.969,1.659
2024,4,APS,2.862,2.473
2024,4,DUQ,2.751,2.402
2024,4,METED,2.684,2.305
2024,4,PECO,2.455,2.008
2024,4,PENELEC,2.728,2.369
2024,4,PPL,2.554,2.247
2024,5,APS,3.258,2.665
2024,5,DUQ,4.021,2.62
2024,5,METED,2.505,2.048
2024,5,PECO,2.274,1.856
2024,5,PENELEC,3.188,2.513
2024,5,PPL,2.378,1.989
2024,6,APS,3.116,2.509
2024,6,DUQ,2.949,2.423
2024,6,METED,2.542,2.038
2024,6,PECO,2.658,2.21
2024,6,PENELEC,2.989,2.396
2024,6,PPL,2.407,2.017
2024,7,APS,4.339,3.114
2024,7,DUQ,4.065,2.997
2024,7,METED,3.695,2.399
2024,7,PECO,4.178,2.595
2024,7,PENELEC,3.913,2.89
2024,7,PPL,3.763,2.57
2024,8,APS,3.146,2.504
2024,8,DUQ,3.069,2.435
2024,8,METED,2.902,2.263
2024,8,PECO,2.918,2.272
2024,8,PENELEC,3.156,2.598
2024,8,PPL,2.783,2.261
2024,9,APS,3.041,2.413
2024,9,DUQ,2.955,2.392
2024,9,METED,2.44,2.082
2024,9,PECO,2.133,1.93
2024,9,PENELEC,2.837,2.435
2024,9,PPL,2.276,1.98
2024,10,APS,3.322,2.5
2024,10,DUQ,3.164,2.454
2024,10,METED,2.409,2.058
2024,10,PECO,2.451,2.092
2024,10,PENELEC,2.952,2.399
2024,10,PPL,2.399,2.026
2024,11,APS,2.921,2.622
2024,11,DUQ,2.868,2.58
2024,11,METED,2.769,2.506
2024,11,PECO,2.673,2.461
2024,11,PENELEC,2.852,2.59
2024,11,PPL,2.703,2.486
2024,12,APS,3.576,3.038
2024,12,DUQ,3.222,2.966
2024,12,METED,3.251,3.008
2024,12,PECO,3.108,2.939
2024,12,PENELEC,3.976,3.674
2024,12,PPL,2.882,2.767
2025,1,APS,6.228,4.238
2025,1,DUQ,5.05,3.874
2025,1,METED,5.755,4.254
2025,1,PECO,5.735,4.284
2025,1,PENELEC,5.935,4.55
2025,1,PPL,5.554,4.077
2025,2,APS,4.769,3.895
2025,2,DUQ,4.581,3.789
2025,2,METED,4.548,3.781
2025,2,PECO,4.619,3.845
2025,2,PENELEC,5.754,4.903
2025,2,PPL,4.266,3.567
2025,3,APS,4.444,3.621
2025,3,DUQ,4.191,3.503
2025,3,METED,4.195,3.489
2025,3,PECO,3.296,2.89
2025,3,PENELEC,4.49,3.785
2025,3,PPL,3.624,3.133
2025,4,APS,4.423,3.868
2025,4,DUQ,4.393,3.852
2025,4,METED,3.637,3.105
2025,4,PECO,3.371,2.911
2025,4,PENELEC,4.125,3.654
2025,4,PPL,3.566,3.091
2025,5,APS,3.276,2.766
2025,5,DUQ,3.017,2.662
2025,5,METED,3.451,2.763
2025,5,PECO,2.773,2.538
2025,5,PENELEC,3.052,2.728
2025,5,PPL,2.916,2.595
2025,6,APS,5.355,3.167
2025,6,DUQ,5.171,3.105
2025,6,METED,5.191,2.745
2025,6,PECO,4.708,2.333
2025,6,PENELEC,5.521,3.476
2025,6,PPL,4.649,2.397
2025,7,APS,5.175,4.183
2025,7,DUQ,4.901,4.079
2025,7,METED,5.198,3.682
2025,7,PECO,4.992,3.578
2025,7,PENELEC,5.382,4.363
2025,7,PPL,4.804,3.313
2025,8,APS,3.51,2.894
2025,8,DUQ,3.478,2.855
2025,8,METED,3.35,2.577
2025,8,PECO,3.222,2.607
2025,8,PENELEC,3.756,3.105
2025,8,PPL,3.016,2.441
2025,9,APS,4.353,3.212
2025,9,DUQ,4.086,3.078
2025,9,METED,3.04,2.153
2025,9,PECO,2.643,2.287
2025,9,PENELEC,3.877,3.036
2025,9,PPL,2.553,2.022
2025,10,APS,4.718,3.723
2025,10,DUQ,4.534,3.679
2025,10,METED,3.582,3.217
2025,10,PECO,3.797,3.266
2025,10,PENELEC,4.328,3.559
2025,10,PPL,3.537,3.189
2025,11,APS,4.906,3.906
2025,11,DUQ,4.276,3.661
2025,11,METED,3.994,3.771
2025,11,PECO,3.952,3.553
2025,11,PENELEC,4.419,3.87
2025,11,PPL,3.765,3.486
2025,12,APS,5.886,4.398
2025,12,DUQ,4.243,3.888
2025,12,METED,5.367,4.23
2025,12,PECO,5.202,4.204
2025,12,PENELEC,6.903,4.85
2025,12,PPL,4.887,3.83
2026,1,APS,13.499,4.149
2026,1,DUQ,6.736,3.715
2026,1,METED,10.417,4.017
2026,1,PECO,9.953,4.0
2026,1,PENELEC,8.817,3.999
2026,1,PPL,9.951,3.899
