Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup,n_offers,weight,RT_Average,RT_Median,real_RT_Average,real_RT_Median
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,9.99,6.638,3.352,245.519,1.306599,13.0529,8.6732,4.3797,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,5.99,6.638,-0.648,245.519,1.306599,7.8265,8.6732,-0.8467,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.39,6.638,-0.248,245.519,1.306599,8.3492,8.6732,-0.324,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.15,6.638,-0.488,245.519,1.306599,8.0356,8.6732,-0.6376,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.39,6.638,-0.248,245.519,1.306599,8.3492,8.6732,-0.324,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,9.8,6.638,3.162,245.519,1.306599,12.8047,8.6732,4.1315,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,5.9,6.638,-0.738,245.519,1.306599,7.7089,8.6732,-0.9643,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,6.49,6.638,-0.148,245.519,1.306599,8.4798,8.6732,-0.1934,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,9.49,6.638,2.852,245.519,1.306599,12.3996,8.6732,3.7264,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,9.2,6.638,2.562,245.519,1.306599,12.0207,8.6732,3.3475,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,5.8,6.638,-0.838,245.519,1.306599,7.5783,8.6732,-1.0949,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,8.4,6.638,1.762,245.519,1.306599,10.9754,8.6732,2.3022,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,10.0,6.638,3.362,245.519,1.306599,13.066,8.6732,4.3928,112,0.0089285714285714,2.704,2.403,3.533,3.1398
2017,8,APS,11.99,6.638,5.352,245.519,1.306599,15.6661,8.6732,6.9929,112,0.0089285714285714,2.704,2.403,3.533,3.1398
