Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599
2017,8,APS,7.89,6.638,1.252,245.519,1.306599,10.3091,8.6732,1.6359
2017,8,APS,7.9,6.638,1.262,245.519,1.306599,10.3221,8.6732,1.6489
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585
2017,8,APS,11.15,6.638,4.512,245.519,1.306599,14.5686,8.6732,5.8954
2017,8,APS,8.59,6.638,1.952,245.519,1.306599,11.2237,8.6732,2.5505
2017,8,APS,5.9,6.638,-0.738,245.519,1.306599,7.7089,8.6732,-0.9643
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293
2017,8,APS,7.69,6.638,1.052,245.519,1.306599,10.0478,8.6732,1.3745
2017,8,APS,8.64,6.638,2.002,245.519,1.306599,11.289,8.6732,2.6158
2017,8,APS,8.19,6.638,1.552,245.519,1.306599,10.701,8.6732,2.0278
2017,8,APS,9.14,6.638,2.502,245.519,1.306599,11.9423,8.6732,3.2691
2017,8,APS,5.4,6.638,-1.238,245.519,1.306599,7.0556,8.6732,-1.6176
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986
2017,8,APS,7.39,6.638,0.752,245.519,1.306599,9.6558,8.6732,0.9826
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293
2017,8,APS,7.49,6.638,0.852,245.519,1.306599,9.7864,8.6732,1.1132
2017,8,APS,7.69,6.638,1.052,245.519,1.306599,10.0478,8.6732,1.3745
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585
2017,8,APS,8.89,6.638,2.252,245.519,1.306599,11.6157,8.6732,2.9425
2017,8,APS,8.89,6.638,2.252,245.519,1.306599,11.6157,8.6732,2.9425
2017,8,APS,9.49,6.638,2.852,245.519,1.306599,12.3996,8.6732,3.7264
2017,8,APS,5.84,6.638,-0.798,245.519,1.306599,7.6305,8.6732,-1.0427
2017,8,APS,11.65,6.638,5.012,245.519,1.306599,15.2219,8.6732,6.5487
2017,8,APS,7.99,6.638,1.352,245.519,1.306599,10.4397,8.6732,1.7665
2017,8,APS,9.14,6.638,2.502,245.519,1.306599,11.9423,8.6732,3.2691
2017,8,APS,8.59,6.638,1.952,245.519,1.306599,11.2237,8.6732,2.5505
2017,8,APS,8.59,6.638,1.952,245.519,1.306599,11.2237,8.6732,2.5505
2017,8,APS,5.94,6.638,-0.698,245.519,1.306599,7.7612,8.6732,-0.912
2017,8,APS,7.88,6.638,1.242,245.519,1.306599,10.296,8.6732,1.6228
2017,8,APS,6.49,6.638,-0.148,245.519,1.306599,8.4798,8.6732,-0.1934
2017,8,APS,8.48,6.638,1.842,245.519,1.306599,11.08,8.6732,2.4068
2017,8,APS,8.98,6.638,2.342,245.519,1.306599,11.7333,8.6732,3.0601
2017,8,APS,8.58,6.638,1.942,245.519,1.306599,11.2106,8.6732,2.5374
2017,8,APS,8.98,6.638,2.342,245.519,1.306599,11.7333,8.6732,3.0601
2017,8,APS,6.25,6.638,-0.388,245.519,1.306599,8.1662,8.6732,-0.507
2017,8,APS,6.36,6.638,-0.278,245.519,1.306599,8.31,8.6732,-0.3632
2017,8,APS,6.62,6.638,-0.018,245.519,1.306599,8.6497,8.6732,-0.0235
2017,8,APS,6.29,6.638,-0.348,245.519,1.306599,8.2185,8.6732,-0.4547
2017,8,APS,7.39,6.638,0.752,245.519,1.306599,9.6558,8.6732,0.9826
2017,8,APS,8.39,6.638,1.752,245.519,1.306599,10.9624,8.6732,2.2892
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731
2017,8,APS,6.6,6.638,-0.038,245.519,1.306599,8.6236,8.6732,-0.0497
2017,8,APS,7.1,6.638,0.462,245.519,1.306599,9.2769,8.6732,0.6036
2017,8,DUQ,7.5,7.5333,-0.0333,245.519,1.306599,9.7995,9.843,-0.0436
2017,8,DUQ,7.95,7.5333,0.4167,245.519,1.306599,10.3875,9.843,0.5444
2017,8,DUQ,8.2,7.5333,0.6667,245.519,1.306599,10.7141,9.843,0.8711
2017,8,DUQ,8.25,7.5333,0.7167,245.519,1.306599,10.7794,9.843,0.9364
2017,8,DUQ,10.31,7.5333,2.7767,245.519,1.306599,13.471,9.843,3.628
2017,8,DUQ,7.72,7.5333,0.1867,245.519,1.306599,10.0869,9.843,0.2439
2017,8,DUQ,5.99,7.5333,-1.5433,245.519,1.306599,7.8265,9.843,-2.0165
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
2017,8,DUQ,7.0,7.5333,-0.5333,245.519,1.306599,9.1462,9.843,-0.6969
2017,8,DUQ,10.4,7.5333,2.8667,245.519,1.306599,13.5886,9.843,3.7456
2017,8,DUQ,11.7,7.5333,4.1667,245.519,1.306599,15.2872,9.843,5.4442
2017,8,DUQ,11.49,7.5333,3.9567,245.519,1.306599,15.0128,9.843,5.1698
2017,8,DUQ,12.87,7.5333,5.3367,245.519,1.306599,16.8159,9.843,6.9729
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726
2017,8,DUQ,8.49,7.5333,0.9567,245.519,1.306599,11.093,9.843,1.25
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726
2017,8,DUQ,9.99,7.5333,2.4567,245.519,1.306599,13.0529,9.843,3.2099
2017,8,DUQ,8.79,7.5333,1.2567,245.519,1.306599,11.485,9.843,1.642
2017,8,DUQ,9.69,7.5333,2.1567,245.519,1.306599,12.6609,9.843,2.8179
2017,8,DUQ,8.79,7.5333,1.2567,245.519,1.306599,11.485,9.843,1.642
2017,8,DUQ,8.69,7.5333,1.1567,245.519,1.306599,11.3543,9.843,1.5113
2017,8,DUQ,9.7,7.5333,2.1667,245.519,1.306599,12.674,9.843,2.831
2017,8,DUQ,9.99,7.5333,2.4567,245.519,1.306599,13.0529,9.843,3.2099
2017,8,DUQ,6.61,7.5333,-0.9233,245.519,1.306599,8.6366,9.843,-1.2064
2017,8,DUQ,7.75,7.5333,0.2167,245.519,1.306599,10.1261,9.843,0.2831
2017,8,DUQ,7.97,7.5333,0.4367,245.519,1.306599,10.4136,9.843,0.5705
2017,8,DUQ,8.1,7.5333,0.5667,245.519,1.306599,10.5835,9.843,0.7404
2017,8,DUQ,11.15,7.5333,3.6167,245.519,1.306599,14.5686,9.843,4.7255
2017,8,DUQ,9.39,7.5333,1.8567,245.519,1.306599,12.269,9.843,2.4259
2017,8,DUQ,7.4,7.5333,-0.1333,245.519,1.306599,9.6688,9.843,-0.1742
2017,8,DUQ,9.29,7.5333,1.7567,245.519,1.306599,12.1383,9.843,2.2953
2017,8,DUQ,9.49,7.5333,1.9567,245.519,1.306599,12.3996,9.843,2.5566
2017,8,DUQ,9.19,7.5333,1.6567,245.519,1.306599,12.0076,9.843,2.1646
2017,8,DUQ,11.49,7.5333,3.9567,245.519,1.306599,15.0128,9.843,5.1698
2017,8,DUQ,8.89,7.5333,1.3567,245.519,1.306599,11.6157,9.843,1.7726
2017,8,DUQ,9.84,7.5333,2.3067,245.519,1.306599,12.8569,9.843,3.0139
2017,8,DUQ,8.69,7.5333,1.1567,245.519,1.306599,11.3543,9.843,1.5113
2017,8,DUQ,9.64,7.5333,2.1067,245.519,1.306599,12.5956,9.843,2.7526
2017,8,DUQ,7.2,7.5333,-0.3333,245.519,1.306599,9.4075,9.843,-0.4355
2017,8,DUQ,6.89,7.5333,-0.6433,245.519,1.306599,9.0025,9.843,-0.8406
2017,8,DUQ,7.49,7.5333,-0.0433,245.519,1.306599,9.7864,9.843,-0.0566
2017,8,DUQ,6.99,7.5333,-0.5433,245.519,1.306599,9.1331,9.843,-0.7099
2017,8,DUQ,7.59,7.5333,0.0567,245.519,1.306599,9.9171,9.843,0.074
2017,8,DUQ,7.69,7.5333,0.1567,245.519,1.306599,10.0478,9.843,0.2047
2017,8,DUQ,8.29,7.5333,0.7567,245.519,1.306599,10.8317,9.843,0.9887
2017,8,DUQ,8.49,7.5333,0.9567,245.519,1.306599,11.093,9.843,1.25
2017,8,DUQ,9.09,7.5333,1.5567,245.519,1.306599,11.877,9.843,2.0339
2017,8,DUQ,9.29,7.5333,1.7567,245.519,1.306599,12.1383,9.843,2.2953
2017,8,DUQ,9.89,7.5333,2.3567,245.519,1.306599,12.9223,9.843,3.0792
2017,8,DUQ,6.88,7.5333,-0.6533,245.519,1.306599,8.9894,9.843,-0.8536
2017,8,DUQ,8.99,7.5333,1.4567,245.519,1.306599,11.7463,9.843,1.9033
