EDC,Mean,Median,Q10,Q90
APS,4.184411363636364,3.6665,3.0946000000000002,6.69436
DUQ,3.663564772727273,3.3738,2.69678,4.897269999999999
METED,3.1244602272727273,2.5528,1.80304,4.77138
PECO,6.205648863636363,5.47975,4.26982,10.28004
PENELEC,3.5232954545454547,2.5202999999999998,1.96662,6.140009999999999
PPL,4.550532954545455,3.9262,2.89703,7.556539999999999
