Year,Month,EDC,price,PTC,markup
2021,1,DUQ,6.89,6.609999999999999,0.28000000000000025
2021,1,DUQ,7.85,6.609999999999999,1.2400000000000002
2021,1,DUQ,7.6,6.609999999999999,0.9900000000000002
2021,1,DUQ,9.9,6.609999999999999,3.290000000000001
2021,1,DUQ,10.31,6.609999999999999,3.700000000000001
2021,1,DUQ,7.72,6.609999999999999,1.1100000000000003
2021,1,DUQ,5.99,6.609999999999999,-0.6199999999999992
2021,1,DUQ,9.66,6.609999999999999,3.0500000000000007
2021,1,DUQ,8.29,6.609999999999999,1.6799999999999997
2021,1,DUQ,11.4,6.609999999999999,4.790000000000001
2021,1,DUQ,6.99,6.609999999999999,0.3800000000000008
2021,1,DUQ,6.09,6.609999999999999,-0.5199999999999996
2021,1,DUQ,6.19,6.609999999999999,-0.41999999999999904
2021,1,DUQ,7.09,6.609999999999999,0.4800000000000004
2021,1,DUQ,7.59,6.609999999999999,0.9800000000000004
2021,1,DUQ,12.87,6.609999999999999,6.26
2021,1,DUQ,7.79,6.609999999999999,1.1800000000000006
2021,1,DUQ,7.89,6.609999999999999,1.2800000000000002
2021,1,DUQ,8.99,6.609999999999999,2.380000000000001
2021,1,DUQ,7.99,6.609999999999999,1.3800000000000008
2021,1,DUQ,7.99,6.609999999999999,1.3800000000000008
2021,1,DUQ,8.39,6.609999999999999,1.7800000000000011
2021,1,DUQ,8.59,6.609999999999999,1.9800000000000004
2021,1,DUQ,8.59,6.609999999999999,1.9800000000000004
2021,1,DUQ,8.19,6.609999999999999,1.58
2021,1,DUQ,8.29,6.609999999999999,1.6799999999999997
2021,1,DUQ,6.61,6.609999999999999,8.881784197001252e-16
2021,1,DUQ,7.75,6.609999999999999,1.1400000000000006
2021,1,DUQ,7.97,6.609999999999999,1.3600000000000003
2021,1,DUQ,8.1,6.609999999999999,1.4900000000000002
2021,1,DUQ,8.59,6.609999999999999,1.9800000000000004
2021,1,DUQ,8.59,6.609999999999999,1.9800000000000004
2021,1,DUQ,8.4,6.609999999999999,1.790000000000001
2021,1,DUQ,10.29,6.609999999999999,3.6799999999999997
2021,1,DUQ,10.49,6.609999999999999,3.880000000000001
2021,1,DUQ,7.1,6.609999999999999,0.4900000000000002
2021,1,DUQ,8.9,6.609999999999999,2.290000000000001
2021,1,DUQ,8.5,6.609999999999999,1.8900000000000006
2021,1,DUQ,6.99,6.609999999999999,0.3800000000000008
2021,1,DUQ,9.99,6.609999999999999,3.380000000000001
2021,1,DUQ,7.19,6.609999999999999,0.580000000000001
2021,1,DUQ,8.09,6.609999999999999,1.4800000000000004
2021,1,DUQ,8.29,6.609999999999999,1.6799999999999997
2021,1,DUQ,6.59,6.609999999999999,-0.019999999999999574
2021,1,DUQ,7.0,6.609999999999999,0.39000000000000057
2021,1,DUQ,5.34,6.609999999999999,-1.2699999999999996
2021,1,DUQ,6.08,6.609999999999999,-0.5299999999999994
2021,1,DUQ,6.58,6.609999999999999,-0.02999999999999936
2021,1,DUQ,8.89,6.609999999999999,2.280000000000001
2021,1,DUQ,8.89,6.609999999999999,2.280000000000001
2021,1,DUQ,6.3,6.609999999999999,-0.3099999999999996
2021,1,DUQ,7.5,6.609999999999999,0.8900000000000006
2021,1,DUQ,8.4,6.609999999999999,1.790000000000001
2021,1,DUQ,7.1,6.609999999999999,0.4900000000000002
2021,1,DUQ,7.1,6.609999999999999,0.4900000000000002
2021,1,DUQ,7.31,6.609999999999999,0.7000000000000002
2021,1,DUQ,7.54,6.609999999999999,0.9300000000000006
2021,1,DUQ,7.55,6.609999999999999,0.9400000000000004
2021,1,DUQ,7.76,6.609999999999999,1.1500000000000004
2021,1,DUQ,7.75,6.609999999999999,1.1400000000000006
2021,1,DUQ,7.75,6.609999999999999,1.1400000000000006
2021,1,DUQ,7.96,6.609999999999999,1.3500000000000005
2021,1,DUQ,7.82,6.609999999999999,1.2100000000000009
2021,1,DUQ,7.82,6.609999999999999,1.2100000000000009
2021,1,DUQ,8.03,6.609999999999999,1.42
2021,1,DUQ,6.89,6.609999999999999,0.28000000000000025
2021,1,DUQ,7.85,6.609999999999999,1.2400000000000002
2021,1,DUQ,7.6,6.609999999999999,0.9900000000000002
2021,1,DUQ,9.9,6.609999999999999,3.290000000000001
2021,1,DUQ,11.4,6.609999999999999,4.790000000000001
2021,1,DUQ,12.87,6.609999999999999,6.26
2021,1,DUQ,7.1,6.609999999999999,0.4900000000000002
2021,1,DUQ,8.9,6.609999999999999,2.290000000000001
2021,1,DUQ,8.5,6.609999999999999,1.8900000000000006
2021,1,DUQ,6.99,6.609999999999999,0.3800000000000008
2021,1,DUQ,9.99,6.609999999999999,3.380000000000001
2021,1,DUQ,7.19,6.609999999999999,0.580000000000001
2021,1,DUQ,8.09,6.609999999999999,1.4800000000000004
2021,1,DUQ,8.29,6.609999999999999,1.6799999999999997
2021,1,DUQ,6.3,6.609999999999999,-0.3099999999999996
2021,1,DUQ,7.5,6.609999999999999,0.8900000000000006
2021,1,DUQ,8.4,6.609999999999999,1.790000000000001
2021,1,DUQ,6.89,6.609999999999999,0.28000000000000025
2021,1,DUQ,7.85,6.609999999999999,1.2400000000000002
2021,1,DUQ,7.6,6.609999999999999,0.9900000000000002
2021,1,DUQ,9.9,6.609999999999999,3.290000000000001
2021,1,DUQ,11.4,6.609999999999999,4.790000000000001
2021,1,DUQ,12.87,6.609999999999999,6.26
2021,1,DUQ,7.1,6.609999999999999,0.4900000000000002
2021,1,DUQ,8.9,6.609999999999999,2.290000000000001
2021,1,DUQ,6.99,6.609999999999999,0.3800000000000008
2021,1,DUQ,9.99,6.609999999999999,3.380000000000001
2021,1,DUQ,7.19,6.609999999999999,0.580000000000001
2021,1,DUQ,8.09,6.609999999999999,1.4800000000000004
2021,1,DUQ,8.29,6.609999999999999,1.6799999999999997
2021,1,METED,6.15,6.17,-0.019999999999999574
2021,1,METED,6.65,6.17,0.4800000000000004
2021,1,METED,6.45,6.17,0.28000000000000025
2021,1,METED,8.9,6.17,2.7300000000000004
2021,1,METED,10.43,6.17,4.26
2021,1,METED,6.85,6.17,0.6799999999999997
2021,1,METED,5.49,6.17,-0.6799999999999997
2021,1,METED,9.23,6.17,3.0600000000000005
2021,1,METED,6.9,6.17,0.7300000000000004
2021,1,METED,10.2,6.17,4.029999999999999
2021,1,METED,5.79,6.17,-0.3799999999999999
2021,1,METED,5.39,6.17,-0.7800000000000002
2021,1,METED,6.79,6.17,0.6200000000000001
2021,1,METED,7.09,6.17,0.9199999999999999
2021,1,METED,7.09,6.17,0.9199999999999999
2021,1,METED,7.19,6.17,1.0200000000000005
2021,1,METED,7.39,6.17,1.2199999999999998
2021,1,METED,7.59,6.17,1.42
2021,1,METED,6.79,6.17,0.6200000000000001
2021,1,METED,7.09,6.17,0.9199999999999999
2021,1,METED,7.19,6.17,1.0200000000000005
2021,1,METED,7.49,6.17,1.3200000000000003
2021,1,METED,7.59,6.17,1.42
2021,1,METED,7.49,6.17,1.3200000000000003
2021,1,METED,7.69,6.17,1.5200000000000005
2021,1,METED,7.79,6.17,1.62
2021,1,METED,5.9,6.17,-0.2699999999999996
2021,1,METED,8.69,6.17,2.5199999999999996
2021,1,METED,8.79,6.17,2.619999999999999
2021,1,METED,5.8,6.17,-0.3700000000000001
2021,1,METED,8.3,6.17,2.130000000000001
2021,1,METED,5.3,6.17,-0.8700000000000001
2021,1,METED,7.9,6.17,1.7300000000000004
2021,1,METED,9.0,6.17,2.83
2021,1,METED,6.9,6.17,0.7300000000000004
2021,1,METED,6.49,6.17,0.3200000000000003
2021,1,METED,9.99,6.17,3.8200000000000003
2021,1,METED,6.39,6.17,0.21999999999999975
2021,1,METED,7.19,6.17,1.0200000000000005
2021,1,METED,7.49,6.17,1.3200000000000003
2021,1,METED,6.21,6.17,0.040000000000000036
2021,1,METED,9.9,6.17,3.7300000000000004
2021,1,METED,6.11,6.17,-0.05999999999999961
2021,1,METED,7.4,6.17,1.2300000000000004
2021,1,METED,7.6,6.17,1.4299999999999997
2021,1,METED,8.0,6.17,1.83
2021,1,METED,4.59,6.17,-1.58
2021,1,METED,5.14,6.17,-1.0300000000000002
2021,1,METED,6.483,6.17,0.3129999999999997
2021,1,METED,7.99,6.17,1.8200000000000003
2021,1,METED,8.09,6.17,1.92
2021,1,METED,5.9,6.17,-0.2699999999999996
2021,1,METED,6.8,6.17,0.6299999999999999
2021,1,METED,7.7,6.17,1.5300000000000002
2021,1,METED,6.61,6.17,0.4400000000000004
2021,1,METED,6.61,6.17,0.4400000000000004
2021,1,METED,6.82,6.17,0.6500000000000004
2021,1,METED,6.89,6.17,0.7199999999999998
2021,1,METED,6.89,6.17,0.7199999999999998
2021,1,METED,7.1,6.17,0.9299999999999997
2021,1,METED,7.2,6.17,1.0300000000000002
2021,1,METED,7.19,6.17,1.0200000000000005
2021,1,METED,7.19,6.17,1.0200000000000005
2021,1,METED,7.41,6.17,1.2400000000000002
2021,1,METED,7.2,6.17,1.0300000000000002
2021,1,METED,7.19,6.17,1.0200000000000005
2021,1,METED,7.41,6.17,1.2400000000000002
2021,1,PECO,5.59,6.426,-0.8360000000000003
2021,1,PECO,5.99,6.426,-0.43599999999999994
2021,1,PECO,5.79,6.426,-0.6360000000000001
2021,1,PECO,9.9,6.426,3.474
2021,1,PECO,9.61,6.426,3.1839999999999993
2021,1,PECO,7.06,6.426,0.6339999999999995
2021,1,PECO,5.99,6.426,-0.43599999999999994
2021,1,PECO,9.75,6.426,3.324
2021,1,PECO,7.9,6.426,1.4740000000000002
2021,1,PECO,10.0,6.426,3.574
2021,1,PECO,5.29,6.426,-1.1360000000000001
2021,1,PECO,5.39,6.426,-1.0360000000000005
2021,1,PECO,5.69,6.426,-0.7359999999999998
2021,1,PECO,6.99,6.426,0.5640000000000001
2021,1,PECO,7.49,6.426,1.064
2021,1,PECO,7.73,6.426,1.3040000000000003
2021,1,PECO,13.79,6.426,7.363999999999999
2021,1,PECO,8.09,6.426,1.6639999999999997
2021,1,PECO,7.39,6.426,0.9639999999999995
2021,1,PECO,7.99,6.426,1.564
2021,1,PECO,7.19,6.426,0.7640000000000002
2021,1,PECO,7.59,6.426,1.1639999999999997
2021,1,PECO,9.99,6.426,3.564
2021,1,PECO,11.69,6.426,5.263999999999999
2021,1,PECO,7.49,6.426,1.064
2021,1,PECO,7.59,6.426,1.1639999999999997
2021,1,PECO,7.59,6.426,1.1639999999999997
2021,1,PECO,7.39,6.426,0.9639999999999995
2021,1,PECO,6.87,6.426,0.44399999999999995
2021,1,PECO,8.14,6.426,1.7140000000000004
2021,1,PECO,8.76,6.426,2.3339999999999996
2021,1,PECO,9.02,6.426,2.5939999999999994
2021,1,PECO,11.99,6.426,5.564
2021,1,PECO,10.99,6.426,4.564
2021,1,PECO,10.99,6.426,4.564
2021,1,PECO,9.99,6.426,3.564
2021,1,PECO,7.39,6.426,0.9639999999999995
2021,1,PECO,7.39,6.426,0.9639999999999995
2021,1,PECO,6.9,6.426,0.4740000000000002
2021,1,PECO,8.39,6.426,1.9640000000000004
2021,1,PECO,8.39,6.426,1.9640000000000004
2021,1,PECO,6.9,6.426,0.4740000000000002
2021,1,PECO,8.9,6.426,2.474
2021,1,PECO,6.4,6.426,-0.0259999999999998
2021,1,PECO,7.9,6.426,1.4740000000000002
2021,1,PECO,9.0,6.426,2.574
2021,1,PECO,7.9,6.426,1.4740000000000002
2021,1,PECO,6.49,6.426,0.06400000000000006
2021,1,PECO,9.99,6.426,3.564
2021,1,PECO,6.79,6.426,0.3639999999999999
2021,1,PECO,6.89,6.426,0.4639999999999995
2021,1,PECO,7.09,6.426,0.6639999999999997
2021,1,PECO,7.29,6.426,0.8639999999999999
2021,1,PECO,10.55,6.426,4.1240000000000006
2021,1,PECO,6.37,6.426,-0.05600000000000005
2021,1,PECO,8.0,6.426,1.5739999999999998
2021,1,PECO,8.3,6.426,1.8740000000000006
2021,1,PECO,8.9,6.426,2.474
2021,1,PECO,5.22,6.426,-1.2060000000000004
2021,1,PECO,5.24,6.426,-1.186
2021,1,PECO,5.24,6.426,-1.186
2021,1,PECO,7.69,6.426,1.2640000000000002
2021,1,PECO,7.69,6.426,1.2640000000000002
2021,1,PECO,6.7,6.426,0.274
2021,1,PECO,6.8,6.426,0.37399999999999967
2021,1,PECO,7.7,6.426,1.274
2021,1,PECO,7.19,6.426,0.7640000000000002
2021,1,PECO,7.19,6.426,0.7640000000000002
2021,1,PECO,7.41,6.426,0.984
2021,1,PECO,6.8,6.426,0.37399999999999967
2021,1,PECO,6.8,6.426,0.37399999999999967
2021,1,PECO,7.01,6.426,0.5839999999999996
2021,1,PECO,7.06,6.426,0.6339999999999995
2021,1,PECO,7.06,6.426,0.6339999999999995
2021,1,PECO,7.27,6.426,0.8439999999999994
2021,1,PECO,6.91,6.426,0.484
2021,1,PECO,6.91,6.426,0.484
2021,1,PECO,7.12,6.426,0.694
2021,1,PECO,5.59,6.426,-0.8360000000000003
2021,1,PECO,5.99,6.426,-0.43599999999999994
2021,1,PECO,5.79,6.426,-0.6360000000000001
2021,1,PECO,9.9,6.426,3.474
2021,1,PECO,10.0,6.426,3.574
2021,1,PECO,7.73,6.426,1.3040000000000003
2021,1,PECO,13.79,6.426,7.363999999999999
2021,1,PECO,11.99,6.426,5.564
2021,1,PECO,10.99,6.426,4.564
2021,1,PECO,10.99,6.426,4.564
2021,1,PECO,9.99,6.426,3.564
2021,1,PECO,6.9,6.426,0.4740000000000002
2021,1,PECO,8.9,6.426,2.474
2021,1,PECO,6.99,6.426,0.5640000000000001
2021,1,PECO,6.49,6.426,0.06400000000000006
2021,1,PECO,9.99,6.426,3.564
2021,1,PECO,6.79,6.426,0.3639999999999999
2021,1,PECO,6.89,6.426,0.4639999999999995
2021,1,PECO,7.09,6.426,0.6639999999999997
2021,1,PECO,7.69,6.426,1.2640000000000002
2021,1,PECO,7.69,6.426,1.2640000000000002
2021,1,PECO,6.7,6.426,0.274
2021,1,PECO,6.8,6.426,0.37399999999999967
2021,1,PECO,7.7,6.426,1.274
2021,1,PENELEC,5.95,5.667,0.28300000000000036
2021,1,PENELEC,6.39,5.667,0.7229999999999999
2021,1,PENELEC,6.19,5.667,0.5230000000000006
2021,1,PENELEC,8.9,5.667,3.2330000000000005
2021,1,PENELEC,8.45,5.667,2.7829999999999995
2021,1,PENELEC,5.95,5.667,0.28300000000000036
2021,1,PENELEC,4.99,5.667,-0.6769999999999996
2021,1,PENELEC,9.45,5.667,3.7829999999999995
2021,1,PENELEC,6.3,5.667,0.633
2021,1,PENELEC,10.7,5.667,5.0329999999999995
2021,1,PENELEC,6.19,5.667,0.5230000000000006
2021,1,PENELEC,6.09,5.667,0.42300000000000004
2021,1,PENELEC,6.79,5.667,1.1230000000000002
2021,1,PENELEC,7.29,5.667,1.6230000000000002
2021,1,PENELEC,6.39,5.667,0.7229999999999999
2021,1,PENELEC,6.59,5.667,0.923
2021,1,PENELEC,7.39,5.667,1.7229999999999999
2021,1,PENELEC,6.89,5.667,1.2229999999999999
2021,1,PENELEC,6.99,5.667,1.3230000000000004
2021,1,PENELEC,7.19,5.667,1.5230000000000006
2021,1,PENELEC,7.19,5.667,1.5230000000000006
2021,1,PENELEC,7.19,5.667,1.5230000000000006
2021,1,PENELEC,7.79,5.667,2.123
2021,1,PENELEC,7.29,5.667,1.6230000000000002
2021,1,PENELEC,7.49,5.667,1.8230000000000004
2021,1,PENELEC,5.9,5.667,0.23300000000000054
2021,1,PENELEC,8.59,5.667,2.923
2021,1,PENELEC,8.69,5.667,3.0229999999999997
2021,1,PENELEC,5.5,5.667,-0.16699999999999982
2021,1,PENELEC,8.3,5.667,2.633000000000001
2021,1,PENELEC,5.3,5.667,-0.367
2021,1,PENELEC,7.9,5.667,2.2330000000000005
2021,1,PENELEC,9.0,5.667,3.333
2021,1,PENELEC,6.6,5.667,0.9329999999999998
2021,1,PENELEC,5.49,5.667,-0.1769999999999996
2021,1,PENELEC,9.99,5.667,4.323
2021,1,PENELEC,6.09,5.667,0.42300000000000004
