Year,Month,EDC,n_offers,MeanMarkup,Variance,ShareAbovePTC,Q25,Q50,Q75
2017,8,APS,112,1.1847846903607,1.6284842358006724,0.8303571428571429,0.43035804681350887,1.0638016537031612,1.7816221303812911
2017,8,DUQ,136,1.2360899313817033,1.8406212599659046,0.8088235294117647,0.1614068699719522,1.2544211392736404,1.9260679220171566
2017,8,METED,87,1.7511864577139837,1.3840565301574201,0.9425287356321839,0.8581169037417369,1.6727711048679375,2.5370775721994834
2017,8,PECO,176,1.1773645338892558,1.9877567076410936,0.8068181818181818,0.1180341136655656,1.0136836272277332,1.9691031363350255
2017,8,PENELEC,77,1.0770856900060322,1.2071646183300537,0.8571428571428571,0.4131191219378181,1.0678094713513548,1.7865575553436193
2017,8,PPL,118,1.007129432778025,2.1372106094009733,0.7457627118644068,0.0038012841959094157,0.8149948933127407,1.9472754891298218
2017,9,APS,114,1.768670780625849,1.9549418323428065,0.8771929824561403,0.7748243603771467,1.7488726486631032,2.5452732276709535
2017,9,DUQ,138,1.2593627079623997,1.3885311859096574,0.8768115942028986,0.367846883157366,1.1897345400903232,1.8722246749358455
2017,9,METED,90,1.5962700356817243,1.417486727841068,0.9111111111111111,0.7502298900933035,1.5429848173420755,2.2938930861772606
2017,9,PECO,173,1.256265776752849,2.106537011193839,0.7976878612716763,0.18096948754961062,1.182929654580624,2.1658667149672297
2017,9,PENELEC,81,1.986565054960637,1.540560283509784,0.9629629629629629,1.068869130808138,1.8811770476534724,2.542799739975882
2017,9,PPL,122,1.0419366998552306,1.9190298506958121,0.7704918032786885,0.0563561603609577,0.9016433680489788,1.8524415920637578
2017,10,APS,119,2.010807654581636,2.502278813488225,0.9243697478991597,0.8993278646084759,1.8496553360853403,2.8687119083082697
2017,10,DUQ,142,1.2832167577170284,1.8422078235271273,0.8450704225352113,0.314237831522306,1.104752208219888,2.159147623079637
2017,10,METED,94,1.699476971828481,1.2073133481394789,0.9468085106382979,0.9684572739624424,1.6693376360292662,2.3603050801690206
2017,10,PECO,177,1.1587645075809512,1.7030183747816088,0.8192090395480226,0.2884156770775341,1.01597689158171,1.8905000356103656
2017,10,PENELEC,85,1.9903866103392251,1.4247929106700972,0.9529411764705882,1.153994668445777,2.0863352070037804,2.6583063234753235
2017,10,PPL,126,1.0201930760080145,1.5055159372723028,0.7777777777777778,0.23645100852076495,0.975307633698522,1.8602717702667237
2017,11,APS,118,1.499426114384467,2.06832084669689,0.8389830508474576,0.541878501144184,1.3324974889829901,2.403668649671976
2017,11,DUQ,139,1.3072924270432555,1.6719738207629105,0.8057553956834532,0.33222349564623865,1.3344133590458158,2.1191939416811776
2017,11,METED,92,1.238869997519479,1.250762073634499,0.8804347826086957,0.4218286478936091,1.0630037251790019,1.908714301718811
2017,11,PECO,171,1.280905025095037,1.7498490610111759,0.8362573099415205,0.2919481920711249,1.267500822283985,2.030557513617424
2017,11,PENELEC,83,1.5286693376653362,1.2254210134561863,0.9397590361445783,0.687165766622067,1.4675128005331528,2.2421102870673426
2017,11,PPL,123,1.0147759269399659,1.8000770032330833,0.8048780487804879,0.20363945419661,0.7782969791462282,1.704818245940694
2017,12,APS,114,1.5065735638992381,2.607144381910373,0.8508771929824561,0.4964219261883931,1.394936566154049,2.4008234382589775
2017,12,DUQ,115,1.2258558579896728,1.7551434670780344,0.8260869565217391,0.3327843427722126,1.1197486279645412,2.046215667666523
