mu_shift,sigma_scale,loss
-0.3,0.6,36.45046324957436
-0.3,0.7,34.67495521606534
-0.3,0.7999999999999999,32.83494797250417
-0.3,0.8999999999999999,31.01310310037786
-0.3,1.0,29.31353000755522
-0.3,1.0999999999999999,27.865339605667003
-0.3,1.2,26.831941779531114
-0.3,1.2999999999999998,26.417439419614862
-0.3,1.4,26.877221978734305
-0.25,0.6,28.981799569614793
-0.25,0.7,27.121850740940207
-0.25,0.7999999999999999,25.228946328443058
-0.25,0.8999999999999999,23.40500034178448
-0.25,1.0,21.77695334807755
-0.25,1.0999999999999999,20.504698447227742
-0.25,1.2,19.792497771436473
-0.25,1.2999999999999998,19.89205104945514
-0.25,1.4,21.12157819738533
-0.2,0.6,22.285319288835964
-0.2,0.7,20.35318085849921
-0.2,0.7999999999999999,18.425160246763063
-0.2,0.8999999999999999,16.628761726922207
-0.2,1.0,15.121314840478181
-0.2,1.0999999999999999,14.104213103698282
-0.2,1.2,13.827262632552914
-0.2,1.2999999999999998,14.604408432944913
-0.2,1.4,16.827230747735133
-0.15,0.6,16.53892668131661
-0.15,0.7,14.539994936918735
-0.15,0.7999999999999999,12.596866650428575
-0.15,0.8999999999999999,10.865800325200563
-0.15,1.0,9.544377396509255
-0.15,1.0999999999999999,8.880451441294445
-0.15,1.2,9.184050683353155
-0.15,1.2999999999999998,10.842303624777895
-0.15,1.4,14.339330197277235
-0.1,0.6,11.940649116709135
-0.1,0.7,9.882903218480235
-0.1,0.7999999999999999,7.948195212578992
-0.1,0.8999999999999999,6.331156063332937
-0.1,1.0,5.276294174315008
-0.1,1.0999999999999999,5.089826376346723
-0.1,1.2,6.154480491835889
-0.1,1.2999999999999998,8.94768918793268
-0.1,1.4,14.067505548872353
-0.05000000000000002,0.6,8.69952774884732
-0.05000000000000002,0.7,6.596440622783964
-0.05000000000000002,0.7999999999999999,4.705096320935694
-0.05000000000000002,0.8999999999999999,3.2660686888957975
-0.05000000000000002,1.0,2.581398111346222
-0.05000000000000002,1.0999999999999999,3.0287099891980978
-0.05000000000000002,1.2,5.080412798211687
-0.05000000000000002,1.2999999999999998,9.324932443238744
-0.05000000000000002,1.4,16.497745652618054
0.0,0.6,7.039509268650251
0.0,0.7,4.915459565316637
0.0,0.7999999999999999,3.1162498627161215
0.0,0.8999999999999999,1.938971834170863
0.0,1.0,1.7565794617897454
0.0,1.0999999999999999,3.0352248243753226
0.0,1.2,6.3562453758518025
0.0,1.2999999999999998,12.4445996572341
0.0,1.4,22.204793008707554
0.04999999999999999,0.6,7.217932680331305
0.04999999999999999,0.7,5.107696687339097
0.04999999999999999,0.7999999999999999,3.465684002179556
0.04999999999999999,0.8999999999999999,2.658532903868129
0.04999999999999999,1.0,3.1464275475214634
0.04999999999999999,1.0999999999999999,5.5036330070403725
0.04999999999999999,1.2,10.445860900007137
0.04999999999999999,1.2999999999999998,18.865286578253286
0.04999999999999999,1.4,31.87388940154378
0.09999999999999998,0.6,9.532335493880781
0.09999999999999998,0.7,7.480946594690901
0.09999999999999998,0.7999999999999999,6.07938908682122
0.09999999999999998,0.8999999999999999,5.7799785754250586
0.09999999999999998,1.0,7.149141820778336
0.09999999999999998,1.0999999999999999,10.893553492052853
0.09999999999999998,1.2,17.894394109535135
0.09999999999999998,1.2999999999999998,29.24811938507963
0.09999999999999998,1.4,46.32108738220364
0.14999999999999997,0.6,14.32205632327106
0.14999999999999997,0.7,12.38690210127904
0.14999999999999997,0.7999999999999999,11.331601030703627
0.14999999999999997,0.8999999999999999,11.71184730873323
0.14999999999999997,1.0,14.225479522832629
0.14999999999999997,1.0999999999999999,19.741797657003325
0.14999999999999997,1.2,29.34294218066235
0.14999999999999997,1.2999999999999998,44.37590667530295
0.14999999999999997,1.4,66.51921322099818
0.19999999999999996,0.6,21.972301417728936
0.19999999999999996,0.7,20.22812300312421
0.19999999999999996,0.7999999999999999,19.652206754302227
0.19999999999999996,0.8999999999999999,20.928222118327238
0.19999999999999996,1.0,24.913467389281177
0.19999999999999996,1.0999999999999999,32.67619564984797
0.19999999999999996,1.2,45.54667105839815
0.19999999999999996,1.2999999999999998,65.1789112337213
0.19999999999999996,1.4,93.63168673638705
0.24999999999999994,0.6,32.91494688982734
0.24999999999999994,0.7,31.458270790753676
0.24999999999999994,0.7999999999999999,31.529586403461757
0.24999999999999994,0.8999999999999999,33.97044210674899
0.24999999999999994,1.0,39.834182692741926
0.24999999999999994,1.0999999999999999,50.432841157847534
0.24999999999999994,1.2,67.3987553281263
0.24999999999999994,1.2999999999999998,92.7619625874085
0.24999999999999994,1.4,129.04812230463574
0.3,0.6,47.637664675730946
0.3,0.7,46.58999705350152
0.3,0.7999999999999999,47.52045324186869
0.3,0.8999999999999999,51.46255959898583
0.3,1.0,59.708985827754496
0.3,1.0999999999999999,73.87083109204296
0.3,1.2,95.95127124459633
0.3,1.2999999999999998,128.4400304721752
0.3,1.4,174.43354019457772
