Year,Month,EDC,n_offers,MeanMarkup,Variance,ShareAbovePTC,Q10,Q50,Q90
2018,8,PENELEC,83,1.6141,2.0403,0.8434,-0.1692,1.7392,2.8206
2018,8,PPL,107,1.2322,2.7604,0.8037,-0.5382,1.103,2.9656
2018,9,APS,105,2.2317,3.708,0.8857,-0.2148,2.1235,4.2787
2018,9,DUQ,114,2.1717,3.6943,0.9386,0.4871,1.4911,5.5703
2018,9,METED,85,2.0959,1.795,0.9294,0.5668,2.0612,3.6751
2018,9,PECO,126,2.3675,4.5649,0.9365,0.277,2.0053,5.5698
2018,9,PENELEC,82,2.0359,1.9784,0.9146,0.2821,2.0612,3.2914
2018,9,PPL,106,1.3021,2.7548,0.8019,-0.7338,1.1659,2.9641
2018,10,APS,105,2.4945,6.7937,0.8762,-0.2144,2.107,5.3038
2018,10,DUQ,111,2.9208,4.682,0.9459,0.6892,2.3764,6.423
2018,10,METED,84,2.449,3.9824,0.9286,0.5264,2.3113,4.2293
2018,10,PECO,125,2.6293,5.2556,0.936,0.2321,2.1476,5.6996
2018,10,PENELEC,81,2.3731,4.5872,0.9136,0.2816,2.1971,4.1634
2018,10,PPL,105,1.5837,4.0485,0.8095,-0.7116,1.4652,3.3401
2018,11,APS,105,2.646,6.6616,0.8857,-0.1769,2.3687,5.4743
2018,11,DUQ,111,2.8527,4.6994,0.9459,0.6916,2.3589,6.3174
2018,11,METED,84,2.3615,3.8973,0.9286,0.5511,2.1217,4.059
2018,11,PECO,125,2.62,5.2835,0.936,0.2685,2.2567,5.5329
2018,11,PENELEC,82,2.2,4.319,0.9024,0.168,2.0582,3.4289
2018,11,PPL,105,1.8167,3.9376,0.8762,-0.1935,1.4204,3.933
2018,12,APS,105,1.765,6.2238,0.7714,-0.6946,1.3484,4.3312
2018,12,DUQ,109,3.2234,5.1291,0.945,0.681,2.9155,6.759
2018,12,METED,84,2.111,4.2262,0.881,-0.0434,1.8081,4.3197
2018,12,PECO,122,2.823,5.2505,0.9508,0.2055,2.3801,5.8277
2018,12,PENELEC,82,2.2847,4.6629,0.878,-0.1251,2.135,4.6747
2018,12,PPL,104,2.0958,3.7913,0.8942,0.009,1.9773,3.9053
2019,1,APS,105,1.7689,6.1507,0.7905,-0.8462,1.3458,4.3229
2019,1,DUQ,109,3.1968,4.8136,0.945,0.8734,2.6806,6.7461
2019,1,METED,84,1.987,4.288,0.881,-0.0433,1.6644,4.4007
2019,1,PECO,124,2.9414,5.5954,0.9597,0.6512,2.3756,6.1989
2019,1,PENELEC,82,2.257,4.3874,0.8902,-0.1115,2.0672,4.0693
2019,1,PPL,107,2.1731,4.0619,0.8879,-0.0414,1.8715,5.0245
2019,2,APS,94,1.2859,3.5049,0.7021,-0.9531,1.2132,3.7133
2019,2,DUQ,107,2.4731,3.3577,0.9159,0.1184,2.0348,4.9791
2019,2,METED,75,1.4286,2.1464,0.8533,-0.1269,1.1244,3.391
2019,2,PECO,120,2.2164,4.9447,0.8833,-0.1301,1.7786,5.162
2019,2,PENELEC,73,1.6749,2.0392,0.863,-0.1244,1.665,3.1245
2019,2,PPL,99,1.6522,3.0857,0.8586,-0.2588,1.3179,3.5389
2019,3,APS,90,1.9919,3.2129,0.8778,-0.3206,2.0027,4.3626
2019,3,DUQ,107,2.1665,3.1799,0.8879,-0.1346,1.8214,4.1435
2019,3,METED,72,1.6943,1.7939,0.9167,0.395,1.3364,3.2168
2019,3,PECO,117,1.8009,4.6782,0.8376,-0.26,1.2418,4.8308
2019,3,PENELEC,70,2.1048,1.6638,0.9571,0.535,2.1113,3.4982
2019,3,PPL,97,2.2095,3.0404,0.9691,0.3111,1.6992,3.9127
2019,4,APS,90,1.9731,3.26,0.8778,-0.3314,2.0926,4.3397
2019,4,DUQ,110,2.0282,3.273,0.8636,-0.272,1.7365,4.1216
2019,4,METED,74,1.5419,1.9668,0.8649,-0.0602,1.1473,3.1998
2019,4,PECO,115,1.8315,4.116,0.8435,-0.0942,1.3495,4.4878
2019,4,PENELEC,70,2.0182,1.7054,0.9571,0.413,1.9558,3.4798
2019,4,PPL,96,2.1764,2.96,0.9479,0.3157,1.6778,3.906
2019,6,APS,90,2.2508,3.4834,0.9222,0.0169,2.384,4.5518
2019,6,DUQ,107,1.8719,3.3242,0.8692,-0.1369,1.5363,4.0411
2019,6,METED,70,2.2461,2.4897,0.9714,0.6763,1.6407,4.2319
2019,6,PECO,114,1.8922,5.3631,0.8246,-0.9343,1.5142,4.9395
2019,6,PENELEC,68,1.9426,2.0675,0.9412,0.3883,1.6182,3.8224
2019,6,PPL,92,1.7303,3.2906,0.8587,-0.0445,1.2442,3.714
2019,7,APS,88,2.0302,3.9723,0.8636,-0.112,1.9924,4.6218
2019,7,DUQ,107,1.5753,3.808,0.8411,-0.3492,1.0336,4.0344
2019,7,METED,71,2.0246,2.8473,0.9155,0.4501,1.4379,4.1886
2019,7,PECO,118,1.6613,6.3942,0.7034,-1.2304,1.2678,5.025
2019,7,PENELEC,67,1.7431,2.3949,0.8806,-0.15,1.1903,3.8285
2019,7,PPL,92,1.7408,3.5338,0.837,-0.0669,1.2422,3.7078
2019,8,APS,88,1.7657,4.0707,0.8523,-0.1207,1.4423,4.622
2019,8,DUQ,109,1.34,3.4501,0.844,-0.2767,0.7586,3.6594
2019,8,METED,71,1.8611,2.6188,0.9155,0.4501,1.3504,4.1888
2019,8,PECO,119,1.417,6.2501,0.6639,-1.271,0.6546,4.9934
2019,8,PENELEC,68,1.5151,2.3647,0.8529,-0.2226,1.1153,3.8161
2019,8,PPL,92,1.5421,3.6233,0.8478,-0.1344,0.7858,3.708
2019,9,APS,90,1.9078,3.9901,0.9,0.0057,1.756,4.6684
2019,9,DUQ,107,1.4088,3.4208,0.8131,-0.2541,0.9079,3.6566
2019,9,METED,71,1.7988,2.4704,0.9296,0.4036,1.4031,4.0268
2019,9,PECO,118,1.5342,5.7881,0.7373,-0.8084,0.6347,4.9576
2019,9,PENELEC,67,2.1075,2.379,0.9403,0.3123,1.7392,4.4129
2019,9,PPL,92,1.6036,3.4512,0.8587,-0.0337,1.0345,3.7045
2019,10,APS,86,1.9294,4.0623,0.8953,0.0006,1.7396,4.8123
2019,10,DUQ,106,1.4153,3.4886,0.8113,-0.3844,1.0242,3.6482
2019,10,METED,70,1.8745,2.398,0.9286,0.3914,1.4809,4.0538
2019,10,PECO,119,1.5631,5.6126,0.8151,-0.7504,0.6457,4.9463
2019,10,PENELEC,66,2.1894,2.3412,0.9545,0.3016,1.9222,4.4153
2019,10,PPL,93,1.6052,3.4339,0.8495,-0.033,1.2135,3.6867
2019,11,APS,86,1.4977,3.8696,0.7442,-0.5367,1.2781,4.2652
2019,11,DUQ,106,1.7447,3.1669,0.9151,0.1019,1.3491,3.8435
2019,11,METED,70,1.5287,2.2083,0.8857,-0.0218,1.1244,3.5303
2019,11,PECO,119,1.7303,4.5388,0.8908,-0.1347,1.0826,4.5773
2019,11,PENELEC,66,1.5247,2.2398,0.8636,-0.4197,1.3514,3.64
2019,11,PPL,93,1.4597,3.1346,0.8387,-0.254,1.0456,3.4327
2019,12,APS,88,1.0454,3.7091,0.6477,-1.0112,1.0099,3.6415
2019,12,DUQ,107,1.9042,3.2847,0.9439,0.2954,1.2067,4.0405
2019,12,METED,71,1.1318,2.0337,0.8451,-0.3745,0.7365,2.9836
2019,12,PECO,120,1.8851,4.5642,0.8833,-0.0937,1.3207,4.6926
2019,12,PENELEC,67,0.8469,2.0776,0.7463,-0.6854,0.6679,2.9274
2019,12,PPL,94,1.9396,3.1812,0.9362,0.3539,1.5523,3.9067
2020,1,APS,88,0.756,3.4654,0.6136,-1.0836,0.6454,2.9683
2020,1,DUQ,107,1.6927,3.3021,0.8879,-0.0041,1.028,3.913
2020,1,METED,71,0.8911,1.9195,0.8028,-0.3731,0.4974,2.2259
2020,1,PECO,120,1.6958,4.8058,0.8417,-0.3072,1.2721,4.6745
2020,1,PENELEC,67,0.5763,1.7887,0.7015,-0.8767,0.3171,1.9088
2020,1,PPL,94,1.7347,3.4202,0.9149,0.1946,1.1235,3.8916
2020,2,APS,89,0.9908,3.497,0.6292,-0.7765,0.9121,3.2461
2020,2,DUQ,110,1.6025,3.3743,0.8636,-0.0785,0.9074,3.9023
2020,2,METED,72,1.4532,2.0946,0.9028,0.2604,0.9282,2.9019
2020,2,PECO,122,1.6635,5.0474,0.7705,-0.5562,1.2947,4.7423
2020,2,PENELEC,67,1.1112,1.915,0.8657,-0.5314,0.8253,2.5491
2020,2,PPL,95,1.5992,3.69,0.8737,-0.1098,0.9344,3.8711
2020,3,APS,84,1.4772,3.8374,0.75,-0.5282,1.4436,3.7757
2020,3,DUQ,108,1.3181,3.6439,0.7685,-0.3273,0.6173,3.8984
2020,3,METED,69,1.9817,2.4666,0.8986,0.2585,1.6157,3.7658
2020,3,PECO,117,1.6362,5.6835,0.7436,-0.8762,1.1123,4.8707
2020,3,PENELEC,66,1.6861,2.0683,0.9242,0.1131,1.4305,3.1642
2020,3,PPL,92,1.4562,3.9769,0.8152,-0.3424,0.8122,3.9094
2020,4,APS,84,1.3868,4.1304,0.7024,-0.712,1.2925,3.9388
2020,4,DUQ,108,1.2533,3.5123,0.7685,-0.3295,0.5464,4.0497
2020,4,METED,69,1.8284,2.7716,0.8696,-0.025,1.5014,4.4618
2020,4,PECO,117,1.5484,6.0145,0.7094,-1.0948,0.9947,4.5732
2020,4,PENELEC,66,1.5715,2.2707,0.9091,0.1076,1.2594,3.4984
2020,4,PPL,92,1.4368,4.0122,0.8152,-0.4448,0.8177,4.2947
2020,5,APS,87,1.3985,3.7467,0.7126,-0.4704,1.4113,3.7335
2020,5,DUQ,109,1.3957,3.5706,0.7982,-0.2044,0.8341,3.9245
2020,5,METED,71,2.058,2.3477,0.9155,0.513,1.6891,3.6409
2020,5,PECO,121,1.674,5.4255,0.7851,-0.7194,1.1198,4.8733
2020,5,PENELEC,66,1.7486,2.0617,0.9242,0.3016,1.4401,3.1855
2020,5,PPL,94,1.4817,3.9148,0.8298,-0.3296,0.8176,3.9156
2020,7,APS,76,1.3014,3.6811,0.6974,-0.7608,0.8487,3.7645
2020,7,DUQ,105,1.3129,3.08,0.781,-0.4457,0.681,3.905
2020,7,METED,64,1.8298,2.2531,0.9062,0.073,1.6392,3.7168
2020,7,PECO,109,1.7728,5.6398,0.7523,-0.4766,1.0957,5.0577
2020,7,PENELEC,61,1.3937,1.779,0.8361,-0.2872,1.3347,3.1795
2020,7,PPL,89,1.2037,3.8755,0.7079,-0.6976,0.6841,3.5639
2020,8,APS,87,1.3795,3.6458,0.7126,-0.4641,1.3922,3.6829
2020,8,DUQ,109,1.3767,3.4745,0.7982,-0.2016,0.8228,3.8713
2020,8,METED,71,2.0301,2.2845,0.9155,0.506,1.6662,3.5916
2020,8,PECO,121,1.6513,5.2794,0.7851,-0.7097,1.1046,4.8073
2020,8,PENELEC,66,1.7249,2.0061,0.9242,0.2974,1.4206,3.1423
2020,8,PPL,94,1.4617,3.8093,0.8298,-0.3252,0.8066,3.8625
2020,9,APS,80,5.5284,3.6377,1.0,3.4769,5.3872,8.1863
2020,9,DUQ,96,1.1098,3.2135,0.7604,-0.6717,0.6162,3.5496
2020,9,METED,67,1.5723,2.2568,0.8955,-0.1602,1.405,3.7147
2020,9,PECO,106,5.702,5.3545,1.0,3.5693,5.0791,8.5301
2020,9,PENELEC,63,7.7463,1.9755,1.0,6.054,7.7426,9.5814
2020,9,PPL,89,5.166,3.6615,1.0,3.4787,4.6989,7.4375
2020,10,APS,78,5.5554,3.6326,1.0,3.6134,5.3665,7.8983
2020,10,DUQ,94,1.1777,3.2249,0.766,-0.6493,0.6283,3.5481
2020,10,METED,65,1.6864,2.1504,0.9077,0.0419,1.5153,3.7649
2020,10,PECO,102,5.6052,4.8535,1.0,3.5531,5.1016,8.157
2020,10,PENELEC,61,7.8066,1.9459,1.0,6.3349,7.7517,9.5997
2020,10,PPL,85,5.0904,3.1168,1.0,3.6251,4.697,7.2176
2020,11,APS,87,2.0559,3.511,0.908,0.0999,1.9255,4.2493
2020,11,DUQ,94,1.2838,3.0405,0.7766,-0.2712,0.8814,3.5503
2020,11,METED,67,1.8008,2.0909,0.9104,0.0444,1.6395,3.8388
2020,11,PECO,106,2.0021,4.4105,0.9057,0.0937,1.6162,4.4761
2020,11,PENELEC,64,1.7809,1.9858,0.9062,0.2774,1.716,3.6366
2020,11,PPL,87,1.3728,2.9225,0.8736,-0.1742,0.9278,3.4106
2020,12,APS,87,1.8879,3.7044,0.8276,-0.2839,1.7421,4.0636
2020,12,DUQ,94,1.9827,3.2558,0.9043,0.3448,1.6257,4.1627
2020,12,METED,66,1.3568,2.0897,0.8333,-0.3941,1.2808,3.2944
2020,12,PECO,105,1.9776,4.8542,0.8571,-0.3399,1.569,4.9017
2020,12,PENELEC,64,1.752,2.0209,0.8906,-0.0037,1.7772,3.5482
2020,12,PPL,85,1.4862,3.6602,0.8588,-0.1765,0.9393,4.4123
2021,1,APS,83,1.8184,3.8351,0.8072,-0.6702,1.807,4.1887
2021,1,DUQ,95,1.9222,3.2754,0.8947,0.1374,1.5697,4.1451
2021,1,METED,67,1.3006,2.0691,0.8358,-0.3802,1.2509,3.2671
2021,1,PECO,102,1.8003,4.7953,0.8529,-0.5347,1.1944,4.383
2021,1,PENELEC,54,1.7769,2.2887,0.8889,-0.0037,1.8678,3.6705
2021,1,PPL,84,1.4622,3.3889,0.8571,-0.2882,1.0191,3.76
2021,2,APS,83,1.8479,3.8263,0.8193,-0.3982,1.8094,4.1659
2021,2,DUQ,95,2.0067,3.0674,0.8947,0.1854,1.732,4.1225
2021,2,METED,67,1.4686,2.0487,0.8507,-0.3781,1.5002,3.3736
2021,2,PECO,103,1.7862,4.7139,0.835,-0.5318,1.2612,4.3592
2021,2,PENELEC,65,1.9372,2.0902,0.8923,0.0183,1.9796,3.57
2021,2,PPL,85,1.4865,3.2813,0.8588,-0.0903,1.0684,3.7151
2021,3,APS,83,8.4336,3.7667,1.0,6.3614,8.4323,11.1355
2021,3,DUQ,92,2.1437,3.0808,0.8913,0.046,1.9984,4.0935
2021,3,METED,67,2.4701,2.2263,0.9552,0.5353,2.5094,4.3309
2021,3,PECO,103,5.6513,4.591,1.0,3.3366,5.1145,8.1544
2021,3,PENELEC,64,7.7204,2.2738,1.0,5.8642,7.7014,9.5121
2021,3,PPL,85,9.8804,3.0902,1.0,8.2605,9.4127,11.9803
2021,4,APS,72,8.5201,3.366,1.0,6.5065,8.4838,10.5018
2021,4,DUQ,78,2.2759,3.2153,0.9231,0.352,2.0181,4.2764
2021,4,METED,58,2.4389,2.011,0.9483,0.5394,2.489,4.2908
2021,4,PECO,87,5.5489,5.3707,1.0,3.0547,5.0728,8.5636
2021,4,PENELEC,55,7.7861,2.3012,1.0,6.0002,7.8188,9.7697
2021,4,PPL,69,9.7928,2.9399,1.0,8.3099,9.3841,11.7865
2021,5,APS,66,8.6188,3.3442,1.0,6.6586,8.595,10.9069
