Year,Month,Date,EDC,Total_Offers,Above_PTC,Below_PTC,Equal_PTC,Share_Above_PTC,Share_Below_PTC,Share_Equal_PTC,PJM_RT_Average
2019,2,2019-02-01,DUQ,107,98,9,0,0.9158878504672897,0.08411214953271028,0.0,
2019,2,2019-02-01,PECO,120,106,14,0,0.8833333333333333,0.11666666666666667,0.0,
2019,2,2019-02-01,PPL,99,85,14,0,0.8585858585858586,0.1414141414141414,0.0,
2019,3,2019-03-01,DUQ,107,95,12,0,0.8878504672897196,0.11214953271028037,0.0,
2019,3,2019-03-01,PECO,117,98,19,0,0.8376068376068376,0.1623931623931624,0.0,
2019,3,2019-03-01,PPL,97,94,3,0,0.9690721649484536,0.030927835051546393,0.0,
2019,4,2019-04-01,DUQ,110,95,15,0,0.8636363636363636,0.13636363636363635,0.0,
2019,4,2019-04-01,PECO,115,97,18,0,0.8434782608695652,0.1565217391304348,0.0,
2019,4,2019-04-01,PPL,96,91,5,0,0.9479166666666666,0.052083333333333336,0.0,
2019,6,2019-06-01,DUQ,107,93,14,0,0.8691588785046729,0.1308411214953271,0.0,
2019,6,2019-06-01,PECO,114,94,20,0,0.8245614035087719,0.17543859649122806,0.0,
2019,6,2019-06-01,PPL,92,79,13,0,0.8586956521739131,0.14130434782608695,0.0,
2019,7,2019-07-01,DUQ,107,90,17,0,0.8411214953271028,0.1588785046728972,0.0,
2019,7,2019-07-01,PECO,118,83,35,0,0.7033898305084746,0.2966101694915254,0.0,
2019,7,2019-07-01,PPL,92,77,15,0,0.8369565217391305,0.16304347826086957,0.0,
2019,8,2019-08-01,DUQ,109,92,17,0,0.8440366972477065,0.1559633027522936,0.0,
2019,8,2019-08-01,PECO,119,79,40,0,0.6638655462184874,0.33613445378151263,0.0,
2019,8,2019-08-01,PPL,92,78,14,0,0.8478260869565217,0.15217391304347827,0.0,
2019,9,2019-09-01,DUQ,107,87,20,0,0.8130841121495327,0.18691588785046728,0.0,
2019,9,2019-09-01,PECO,118,87,31,0,0.7372881355932204,0.2627118644067797,0.0,
2019,9,2019-09-01,PPL,92,79,13,0,0.8586956521739131,0.14130434782608695,0.0,
2019,10,2019-10-01,DUQ,106,86,20,0,0.8113207547169812,0.18867924528301888,0.0,
2019,10,2019-10-01,PECO,119,97,22,0,0.8151260504201681,0.18487394957983194,0.0,
2019,10,2019-10-01,PPL,93,79,14,0,0.8494623655913979,0.15053763440860216,0.0,
2019,11,2019-11-01,DUQ,106,97,9,0,0.9150943396226415,0.08490566037735849,0.0,
2019,11,2019-11-01,PECO,119,106,13,0,0.8907563025210085,0.1092436974789916,0.0,
2019,11,2019-11-01,PPL,93,78,15,0,0.8387096774193549,0.16129032258064516,0.0,
