Year,Month,EDC,total_weight
2017,8,APS,0.9999999999999969
2017,8,DUQ,0.999999999999988
2017,8,METED,0.9999999999999983
2017,8,PECO,0.9999999999999856
2017,8,PENELEC,0.9999999999999932
2017,8,PPL,0.9999999999999953
2017,9,APS,0.9999999999999996
2017,9,DUQ,0.9999999999999997
2017,9,METED,0.9999999999999989
2017,9,PECO,0.9999999999999916
2017,9,PENELEC,0.9999999999999937
2017,9,PPL,0.9999999999999988
2017,10,APS,0.9999999999999981
2017,10,DUQ,0.9999999999999915
2017,10,METED,0.9999999999999976
2017,10,PECO,0.9999999999999835
2017,10,PENELEC,0.9999999999999964
2017,10,PPL,0.9999999999999953
2017,11,APS,0.9999999999999953
2017,11,DUQ,0.9999999999999936
2017,11,METED,0.9999999999999997
2017,11,PECO,0.9999999999999882
2017,11,PENELEC,0.9999999999999969
2017,11,PPL,0.999999999999999
2017,12,APS,0.9999999999999996
2017,12,DUQ,0.999999999999995
2017,12,METED,0.9999999999999997
2017,12,PECO,0.9999999999999862
2017,12,PENELEC,0.9999999999999943
2017,12,PPL,0.999999999999999
2018,1,APS,0.9999999999999994
2018,1,DUQ,0.9999999999999969
2018,1,METED,0.9999999999999933
2018,1,PECO,0.9999999999999916
2018,1,PENELEC,0.9999999999999964
2018,1,PPL,0.9999999999999936
2018,2,APS,0.9999999999999999
2018,2,DUQ,0.99999999999999
2018,2,METED,0.9999999999999969
2018,2,PECO,0.9999999999999936
2018,2,PENELEC,1.0
2018,2,PPL,0.9999999999999999
2018,3,APS,0.9999999999999999
2018,3,DUQ,1.0
2018,3,METED,0.999999999999999
2018,3,PECO,0.9999999999999895
2018,3,PENELEC,0.9999999999999997
2018,3,PPL,0.9999999999999989
2018,4,APS,0.9999999999999984
2018,4,DUQ,0.9999999999999996
2018,4,METED,0.9999999999999964
2018,4,PECO,0.9999999999999929
2018,4,PENELEC,0.9999999999999948
2018,4,PPL,1.0
2018,5,APS,0.9999999999999984
2018,5,DUQ,0.9999999999999944
2018,5,METED,0.9999999999999964
2018,5,PECO,0.999999999999988
2018,5,PENELEC,0.9999999999999937
2018,5,PPL,0.9999999999999928
2018,6,APS,0.9999999999999976
2018,6,DUQ,0.9999999999999996
2018,6,METED,0.9999999999999964
2018,6,PECO,1.0
2018,6,PENELEC,1.0
2018,6,PPL,0.9999999999999928
2018,7,APS,0.9999999999999984
2018,7,DUQ,0.9999999999999983
2018,7,METED,0.9999999999999964
2018,7,PECO,0.9999999999999969
2018,7,PENELEC,1.0
2018,7,PPL,0.999999999999993
2018,8,APS,0.9999999999999936
2018,8,DUQ,0.999999999999995
2018,8,METED,0.9999999999999926
2018,8,PECO,0.9999999999999953
2018,8,PENELEC,0.9999999999999969
2018,8,PPL,0.999999999999993
2018,9,APS,0.9999999999999976
2018,9,DUQ,0.9999999999999996
2018,9,METED,0.9999999999999964
2018,9,PECO,0.9999999999999953
2018,9,PENELEC,0.999999999999999
2018,9,PPL,0.9999999999999953
2018,10,APS,0.9999999999999976
2018,10,DUQ,0.999999999999999
2018,10,METED,0.9999999999999997
2018,10,PECO,1.0
2018,10,PENELEC,0.9999999999999937
2018,10,PPL,0.9999999999999976
2018,11,APS,0.9999999999999976
2018,11,DUQ,0.999999999999999
2018,11,METED,0.9999999999999997
2018,11,PECO,1.0
2018,11,PENELEC,0.999999999999999
2018,11,PPL,0.9999999999999976
2018,12,APS,0.9999999999999976
2018,12,DUQ,0.9999999999999994
2018,12,METED,0.9999999999999997
2018,12,PECO,0.9999999999999988
2018,12,PENELEC,0.999999999999999
2018,12,PPL,0.9999999999999984
2019,1,APS,0.9999999999999976
2019,1,DUQ,0.9999999999999994
2019,1,METED,0.9999999999999997
2019,1,PECO,0.9999999999999929
2019,1,PENELEC,0.999999999999999
2019,1,PPL,0.999999999999993
2020,1,APS,0.9999999999999943
2020,1,DUQ,0.999999999999993
2020,1,METED,0.9999999999999986
2020,1,PECO,0.999999999999996
2020,1,PENELEC,0.9999999999999961
2020,1,PPL,0.9999999999999976
2021,1,APS,0.9999999999999969
2021,1,DUQ,0.9999999999999921
2021,1,METED,0.9999999999999961
2021,1,PECO,0.9999999999999949
2021,1,PENELEC,0.999999999999999
2021,1,PPL,0.9999999999999997
2022,1,APS,0.9999999999999984
2022,1,DUQ,0.999999999999999
2022,1,METED,0.9999999999999997
2022,1,PECO,0.9999999999999983
2022,1,PENELEC,0.9999999999999997
2022,1,PPL,0.9999999999999953
2023,1,APS,0.9999999999999997
2023,1,DUQ,0.9999999999999989
2023,1,METED,0.9999999999999982
2023,1,PECO,0.9999999999999956
2023,1,PENELEC,0.9999999999999972
2023,1,PPL,0.9999999999999997
2023,2,APS,0.9999999999999976
2023,2,DUQ,0.9999999999999953
2023,2,METED,0.999999999999999
2023,2,PECO,0.9999999999999989
2023,2,PENELEC,0.9999999999999983
2023,2,PPL,1.0
2023,3,APS,1.0
2023,3,DUQ,0.9999999999999956
2023,3,METED,0.9999999999999983
2023,3,PECO,0.9999999999999953
2023,3,PENELEC,1.0
2023,3,PPL,1.0
